Source,Target,Type,Id,Label,timeset,Weight
102,3331,Directed,673122,,,312
102,5512,Directed,673170,,,27
102,1580,Directed,673181,,,42
102,3952,Directed,673215,,,1
102,2844,Directed,673225,,,103
102,106,Directed,673229,,,130
102,3421,Directed,673244,,,152
102,7233,Directed,673264,,,165
102,1798,Directed,673274,,,39
102,1615,Directed,673351,,,7
102,4672,Directed,673362,,,7
102,5125,Directed,673399,,,38
102,7873,Directed,673419,,,74
102,6357,Directed,673563,,,25
102,6417,Directed,673636,,,32
102,5349,Directed,673687,,,18
102,6993,Directed,673694,,,346
102,3228,Directed,673722,,,1
102,8115,Directed,673728,,,102
102,6497,Directed,673747,,,921
106,3331,Directed,673879,,,929
106,5512,Directed,673921,,,14
106,1580,Directed,673933,,,40
106,3952,Directed,673963,,,40
106,2844,Directed,673967,,,14
106,102,Directed,673969,,,104
106,3421,Directed,673986,,,82
106,1615,Directed,674000,,,8
106,7233,Directed,674002,,,50
106,1798,Directed,674010,,,14
106,4672,Directed,674081,,,14
106,5798,Directed,674104,,,1
106,5125,Directed,674116,,,14
106,7873,Directed,674133,,,19
106,6357,Directed,674268,,,27
106,6417,Directed,674334,,,3
106,5349,Directed,674373,,,10
106,6993,Directed,674376,,,26
106,3228,Directed,674403,,,134
106,8115,Directed,674411,,,126
106,6497,Directed,674420,,,433
1580,3331,Directed,690435,,,1397
1580,5512,Directed,690518,,,143
1580,6357,Directed,690537,,,18
1580,3952,Directed,690596,,,152
1580,2844,Directed,690610,,,12
1580,102,Directed,690612,,,241
1580,106,Directed,690619,,,204
1580,3421,Directed,690655,,,119
1580,7233,Directed,690696,,,150
1580,1798,Directed,690708,,,67
1580,8115,Directed,690820,,,303
1580,4672,Directed,690857,,,60
1580,5125,Directed,690928,,,33
1580,7873,Directed,690955,,,82
1580,3228,Directed,690957,,,60
1580,5302,Directed,691023,,,3
1580,6497,Directed,691024,,,2492
1580,5798,Directed,691204,,,2
1580,6417,Directed,691345,,,10
1580,5349,Directed,691420,,,48
1580,6993,Directed,691430,,,229
1580,1615,Directed,691607,,,146
1615,102,Directed,692077,,,11
1615,1798,Directed,692112,,,3
1615,6497,Directed,692116,,,186
1615,5125,Directed,692122,,,2
1615,106,Directed,692141,,,19
1615,5512,Directed,692169,,,36
1615,5349,Directed,692182,,,3
1615,6993,Directed,692189,,,2
1615,8115,Directed,692219,,,34
1615,1580,Directed,692239,,,28
1615,4672,Directed,692250,,,6
1615,7873,Directed,692277,,,5
1615,3331,Directed,692286,,,180
1615,6357,Directed,692287,,,3
1615,3952,Directed,692299,,,18
1615,2844,Directed,692314,,,1
1615,3421,Directed,692356,,,13
1798,5349,Directed,693795,,,16
1798,3331,Directed,693812,,,333
1798,5512,Directed,693840,,,4
1798,1580,Directed,693844,,,28
1798,3952,Directed,693868,,,47
1798,2844,Directed,693871,,,9
1798,102,Directed,693872,,,51
1798,106,Directed,693877,,,31
1798,5125,Directed,693980,,,29
1798,7873,Directed,693988,,,17
1798,4672,Directed,694020,,,126
1798,6357,Directed,694073,,,10
1798,6417,Directed,694115,,,8
1798,6993,Directed,694148,,,7
1798,3228,Directed,694161,,,69
1798,8115,Directed,694165,,,27
1798,6497,Directed,694174,,,293
1798,1615,Directed,694189,,,3
2844,6357,Directed,704317,,,4
2844,6417,Directed,704344,,,3
2844,4672,Directed,704394,,,7
2844,1580,Directed,704410,,,4
2844,5349,Directed,704415,,,7
2844,6993,Directed,704420,,,2
2844,3952,Directed,704451,,,42
2844,3331,Directed,704456,,,244
2844,5512,Directed,704468,,,13
2844,3228,Directed,704470,,,5
2844,8115,Directed,704479,,,30
2844,3421,Directed,704496,,,20
2844,106,Directed,704497,,,26
2844,1798,Directed,704513,,,8
2844,102,Directed,704552,,,117
2844,1615,Directed,704553,,,5
2844,6497,Directed,704560,,,152
2844,5125,Directed,704562,,,4
2844,7873,Directed,704587,,,25
3228,6357,Directed,709018,,,4
3228,5798,Directed,709029,,,10
3228,6497,Directed,709037,,,100
3228,6417,Directed,709048,,,1
3228,102,Directed,709063,,,2
3228,3331,Directed,709093,,,177
3228,6993,Directed,709119,,,1
3228,8115,Directed,709180,,,11
3228,4672,Directed,709193,,,7
3228,106,Directed,709197,,,130
3228,1798,Directed,709214,,,32
3228,3952,Directed,709245,,,21
3228,5512,Directed,709251,,,1
3228,3421,Directed,709254,,,29
3228,2844,Directed,709262,,,5
3228,1615,Directed,709265,,,1
3228,1580,Directed,709276,,,13
3228,5125,Directed,709301,,,12
3228,7873,Directed,709309,,,2
3331,102,Directed,710436,,,308
3331,106,Directed,710440,,,876
3331,5798,Directed,710570,,,15
3331,4672,Directed,710634,,,128
3331,6993,Directed,710771,,,208
3331,2844,Directed,710960,,,212
3331,5125,Directed,711101,,,138
3331,5349,Directed,711313,,,77
3331,3228,Directed,711346,,,171
3331,5512,Directed,711495,,,206
3331,3421,Directed,711546,,,448
3331,7873,Directed,711674,,,49
3331,8115,Directed,711902,,,814
3331,1615,Directed,711939,,,83
3331,1580,Directed,712038,,,277
3331,3952,Directed,712071,,,246
3331,1798,Directed,712111,,,220
3331,6357,Directed,712338,,,132
3331,6417,Directed,712406,,,24
3331,6497,Directed,712494,,,3348
3421,3331,Directed,713525,,,551
3421,5349,Directed,713544,,,30
3421,5512,Directed,713574,,,19
3421,1580,Directed,713585,,,56
3421,3952,Directed,713611,,,35
3421,2844,Directed,713618,,,19
3421,102,Directed,713653,,,176
3421,1615,Directed,713663,,,7
3421,7233,Directed,713667,,,65
3421,106,Directed,713678,,,116
3421,4672,Directed,713704,,,90
3421,5798,Directed,713822,,,34
3421,5125,Directed,713840,,,14
3421,7873,Directed,713856,,,37
3421,6357,Directed,714023,,,12
3421,6417,Directed,714108,,,16
3421,6993,Directed,714160,,,76
3421,3228,Directed,714200,,,111
3421,8115,Directed,714211,,,111
3421,6497,Directed,714230,,,669
3952,3331,Directed,719995,,,229
3952,5512,Directed,720022,,,3
3952,1580,Directed,720026,,,30
3952,2844,Directed,720049,,,28
3952,102,Directed,720050,,,2
3952,106,Directed,720054,,,45
3952,3421,Directed,720063,,,31
3952,1798,Directed,720081,,,27
3952,5125,Directed,720149,,,15
3952,7873,Directed,720159,,,2
3952,4672,Directed,720187,,,15
3952,6357,Directed,720232,,,11
3952,6417,Directed,720265,,,6
3952,5349,Directed,720289,,,23
3952,6993,Directed,720292,,,2
3952,3228,Directed,720302,,,15
3952,8115,Directed,720306,,,31
3952,6497,Directed,720319,,,207
3952,1615,Directed,720332,,,6
4672,3331,Directed,727165,,,196
4672,5512,Directed,727188,,,1
4672,3952,Directed,727211,,,22
4672,2844,Directed,727213,,,5
4672,102,Directed,727214,,,12
4672,106,Directed,727217,,,23
4672,3421,Directed,727229,,,86
4672,1798,Directed,727247,,,131
4672,5798,Directed,727313,,,20
4672,5125,Directed,727326,,,55
4672,7873,Directed,727332,,,35
4672,6357,Directed,727414,,,3
4672,1615,Directed,727443,,,1
4672,5349,Directed,727486,,,15
4672,6993,Directed,727489,,,3
4672,3228,Directed,727504,,,12
4672,8115,Directed,727508,,,5
4672,1580,Directed,727509,,,30
4672,6497,Directed,727515,,,536
5125,6357,Directed,732565,,,1
5125,3331,Directed,732588,,,193
5125,5512,Directed,732611,,,2
5125,1580,Directed,732613,,,15
5125,3952,Directed,732632,,,18
5125,2844,Directed,732635,,,2
5125,102,Directed,732637,,,38
5125,106,Directed,732639,,,8
5125,3421,Directed,732648,,,9
5125,1798,Directed,732667,,,34
5125,8115,Directed,732705,,,15
5125,7873,Directed,732752,,,13
5125,4672,Directed,732783,,,40
5125,6417,Directed,732880,,,1
5125,5349,Directed,732911,,,6
5125,6993,Directed,732915,,,5
5125,3228,Directed,732928,,,10
5125,6497,Directed,732940,,,173
5302,6993,Directed,734603,,,217
5302,3331,Directed,734606,,,11
5302,5512,Directed,734659,,,1
5302,1580,Directed,734669,,,1
5302,106,Directed,734716,,,1
5302,3421,Directed,734738,,,2
5302,7233,Directed,734760,,,831
5302,6497,Directed,734901,,,31
5302,8115,Directed,735151,,,2
5349,2844,Directed,735718,,,3
5349,7233,Directed,735734,,,31
5349,6417,Directed,735745,,,11
5349,1798,Directed,735749,,,15
5349,5125,Directed,735756,,,2
5349,6993,Directed,735783,,,98
5349,3331,Directed,735792,,,81
5349,5512,Directed,735864,,,1
5349,1615,Directed,735869,,,1
5349,8115,Directed,735873,,,12
5349,1580,Directed,735877,,,10
5349,4672,Directed,735885,,,17
5349,6497,Directed,735898,,,303
5349,102,Directed,735920,,,16
5349,5798,Directed,735931,,,2
5349,3952,Directed,735932,,,18
5349,106,Directed,735954,,,2
5349,7873,Directed,735988,,,7
5349,3421,Directed,735989,,,26
5512,3331,Directed,738177,,,269
5512,1580,Directed,738196,,,32
5512,3952,Directed,738214,,,6
5512,2844,Directed,738219,,,8
5512,102,Directed,738221,,,33
5512,3421,Directed,738236,,,21
5512,1798,Directed,738253,,,3
5512,5125,Directed,738321,,,8
5512,7873,Directed,738331,,,5
5512,4672,Directed,738356,,,5
5512,6357,Directed,738401,,,1
5512,1615,Directed,738430,,,14
5512,6417,Directed,738437,,,4
5512,5349,Directed,738458,,,6
5512,6993,Directed,738461,,,6
5512,8115,Directed,738477,,,50
5512,106,Directed,738482,,,17
5512,6497,Directed,738484,,,210
5798,5349,Directed,741489,,,2
5798,6993,Directed,741497,,,5
5798,3228,Directed,741543,,,13
5798,4672,Directed,741564,,,22
5798,3331,Directed,741591,,,10
5798,106,Directed,741625,,,1
5798,1798,Directed,741626,,,1
5798,3421,Directed,741652,,,33
6357,3331,Directed,747189,,,174
6357,5512,Directed,747211,,,4
6357,1580,Directed,747215,,,5
6357,3952,Directed,747235,,,4
6357,2844,Directed,747241,,,2
6357,102,Directed,747242,,,26
6357,106,Directed,747245,,,18
6357,3421,Directed,747256,,,21
6357,5798,Directed,747337,,,1
6357,5125,Directed,747344,,,1
6357,7873,Directed,747350,,,3
6357,4672,Directed,747382,,,1
6357,1798,Directed,747421,,,10
6357,6417,Directed,747466,,,3
6357,5349,Directed,747489,,,1
6357,6993,Directed,747492,,,1
6357,3228,Directed,747505,,,5
6357,8115,Directed,747509,,,13
6357,6497,Directed,747514,,,137
6357,1615,Directed,747526,,,2
6417,102,Directed,748249,,,34
6417,7233,Directed,748265,,,19
6417,5349,Directed,748266,,,19
6417,106,Directed,748274,,,7
6417,1798,Directed,748282,,,7
6417,3331,Directed,748329,,,31
6417,6993,Directed,748348,,,21
6417,5512,Directed,748392,,,4
6417,3228,Directed,748393,,,1
6417,8115,Directed,748401,,,11
6417,1580,Directed,748406,,,4
6417,6497,Directed,748429,,,116
6417,3952,Directed,748458,,,10
6417,5125,Directed,748484,,,3
6417,7873,Directed,748510,,,5
6417,3421,Directed,748511,,,15
6417,2844,Directed,748519,,,4
6497,102,Directed,749599,,,979
6497,106,Directed,749604,,,467
6497,4672,Directed,749832,,,387
6497,6993,Directed,750016,,,1059
6497,2844,Directed,750255,,,97
6497,7233,Directed,750304,,,727
6497,5125,Directed,750430,,,168
6497,5302,Directed,750605,,,5
6497,5349,Directed,750670,,,297
6497,3228,Directed,750705,,,131
6497,3331,Directed,750830,,,3961
6497,5512,Directed,750884,,,170
6497,3421,Directed,750944,,,492
6497,7873,Directed,751103,,,369
6497,8115,Directed,751382,,,447
6497,1615,Directed,751424,,,134
6497,1580,Directed,751541,,,528
6497,3952,Directed,751579,,,187
6497,1798,Directed,751634,,,223
6497,6357,Directed,751910,,,107
6497,6417,Directed,751989,,,97
6993,5302,Directed,756772,,,65
6993,2844,Directed,756773,,,3
6993,102,Directed,756774,,,364
6993,1615,Directed,756793,,,1
6993,7233,Directed,756801,,,174
6993,6417,Directed,756812,,,18
6993,1798,Directed,756817,,,10
6993,4672,Directed,756839,,,1
6993,3331,Directed,756859,,,209
6993,5349,Directed,756876,,,115
6993,5512,Directed,756931,,,3
6993,8115,Directed,756942,,,31
6993,1580,Directed,756946,,,35
6993,5798,Directed,757002,,,7
6993,3952,Directed,757003,,,1
6993,106,Directed,757031,,,35
6993,6497,Directed,757032,,,1043
6993,5125,Directed,757034,,,3
6993,7873,Directed,757065,,,31
6993,3421,Directed,757066,,,51
7233,5302,Directed,759500,,,164
7233,5349,Directed,759517,,,35
7233,6417,Directed,759526,,,10
7233,3331,Directed,759559,,,2
7233,6993,Directed,759586,,,177
7233,8115,Directed,759634,,,21
7233,1580,Directed,759638,,,20
7233,6497,Directed,759659,,,814
7233,102,Directed,759703,,,210
7233,106,Directed,759708,,,74
7233,7873,Directed,759724,,,291
7233,3421,Directed,759727,,,48
7873,3331,Directed,765180,,,59
7873,1580,Directed,765188,,,30
7873,5512,Directed,765210,,,6
7873,2844,Directed,765234,,,4
7873,102,Directed,765235,,,78
7873,106,Directed,765238,,,17
7873,3421,Directed,765245,,,21
7873,7233,Directed,765255,,,289
7873,1798,Directed,765262,,,15
7873,5125,Directed,765329,,,21
7873,4672,Directed,765364,,,33
7873,6357,Directed,765416,,,1
7873,6417,Directed,765451,,,4
7873,5349,Directed,765470,,,16
7873,6993,Directed,765474,,,34
7873,3228,Directed,765491,,,1
7873,8115,Directed,765498,,,15
7873,6497,Directed,765507,,,415
7873,1615,Directed,765521,,,9
8115,3331,Directed,768038,,,1214
8115,5512,Directed,768092,,,42
8115,1580,Directed,768102,,,52
8115,3952,Directed,768148,,,62
8115,2844,Directed,768158,,,43
8115,102,Directed,768161,,,156
8115,106,Directed,768166,,,155
8115,3421,Directed,768190,,,121
8115,1615,Directed,768210,,,27
8115,7233,Directed,768213,,,34
8115,1798,Directed,768222,,,30
8115,5125,Directed,768375,,,29
8115,7873,Directed,768394,,,18
8115,4672,Directed,768464,,,11
8115,6357,Directed,768568,,,26
8115,6417,Directed,768651,,,13
8115,5349,Directed,768711,,,15
8115,6993,Directed,768718,,,63
8115,3228,Directed,768762,,,10
8115,6497,Directed,768795,,,633
